Compound,SMILES,R1,R2,R3,DENV % @ 50 uM,WNV % @ 50 uM,DENV2proHeLa % @ 12.5 uM,DENV2proHeLa EC50 (uM),CC50 (uM),thrombin % @ 25 uM,trypsin % @ 50 uM,virus titer reduction assay % @ 12.5 uM,virus titer reduction assay EC50 (uM)
56,O=C(C1=CC=C(C2=CC=CS2)S1)N[C@@H](C3=CC=C(OCC4=CC=CC=C4)C=C3)C(NCC5=CC=C(C(N)=O)C=C5)=O,O=CC1=CC=C(S1)C2=CC=CS2,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NCC1=CC=C(C=C1)C(N)=O,n.i.,n.i.,62.5 +/- 2.3,6.2 +/- 0.1,> 100,n.i.,n.i.,,
57,O=C(C1=CC=C(OC2=CC=CC=C2)C=C1)N[C@@H](C3=CC=C(OCC4=CC=CC=C4)C=C3)C(NCC5=CC=C(C(N)=O)C=C5)=O,O=CC1=CC=C(C=C1)OC2=CC=CC=C2,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NCC1=CC=C(C=C1)C(N)=O,n.i.,n.i.,82.2 +/- 3.6,1.0 +/- 0.1,17.9 +/- 1.4,n.i.,n.i.,90.4,
58,O=C(C1=CC=C(OCC2=CC=CC=C2)C=C1)N[C@@H](C3=CC=C(OCC4=CC=CC=C4)C=C3)C(NCC5=CC=C(C(N)=O)C=C5)=O,O=CC1=CC=C(C=C1)OCC2=CC=CC=C2,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NCC1=CC=C(C=C1)C(N)=O,28.5 +/- 1.1,65.5 +/- 3.6,64.4 +/- 8.9,4.0 +/- 0.2,> 25,n.i.,n.i.,,
59,O=C(NCC1=CC=C(C(N)=O)C=C1)[C@H](C2=CC=C(OCC3=CC=CC=C3)C=C2)NC(CC4=CC=C(C5=CC=CC=C5)C=C4)=O,O=CCC1=CC=C(C=C1)C2=CC=CC=C2,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NCC1=CC=C(C=C1)C(N)=O,19.6 +/- 8.7,n.i.,25.1 +/- 13.1,n.d.,> 50,n.i.,n.i.,,
60,O=C(CCCCC)N[C@@H](C1=CC=C(OCC2=C(Cl)C=CC=C2Cl)C=C1)C(NC3=CC=CC(C(N)=O)=C3)=O,O=CCCCCC,N[C@H](C=O)C1=CC=C(C=C1)OCC2=C(C=CC=C2Cl)Cl,NC1=CC=CC(C(N)=O)=C1,20.3 +/- 3.1,19.7 +/- 8.1,61.8 +/- 1.5,2.4 +/- 0.1  ,> 50,n.i.,10.7 +/- 4.9,,
61,O=C(CCCCCCC)N[C@@H](C1=CC=C(OCC2=CC=CC=C2)C=C1)C(NC3=CC=CC(C(N)=O)=C3)=O,O=CCCCCCCC,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NC1=CC=CC(C(N)=O)=C1,18.4 +/- 1.6,28.4 +/- 4.1,61.9 +/- 6.4,2.2 +/- 0.3,> 12.5,n.i.,n.i.,,
62,O=C(C1=CC(C=CC=C2)=C2C=C1)N[C@@H](C3=CC=C(OCC4=CC=CC=C4)C=C3)C(NC5=CC=CC(C(N)=O)=C5)=O,O=CC1=CC2=C(C=C1)C=CC=C2,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NC1=CC=CC(C(N)=O)=C1,n.i.,n.i.,71.3 +/- 3.0,4.5 +/- 0.5,> 100,n.i.,26.8 +/- 8.2,,
63,O=C(C1=CC(OCCO2)=C2C=C1)N[C@@H](C3=CC=C(OCC4=CC=CC=C4)C=C3)C(NC5=CC=CC(C(N)=O)=C5)=O,O=CC1=CC2=C(C=C1)OCCO2,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NC1=CC=CC(C(N)=O)=C1,12.1 +/- 2.2,32.8 +/- 3.4,69.4 +/- 14.0,5.4 +/- 0.3,> 100,n.i.,11.9 +/- 3.9,,
64,O=C(C1=CC=C(OC2=CC=CC=C2)C=C1)N[C@@H](C3=CC=C(OCC4=C(Cl)C=CC=C4Cl)C=C3)C(NC5=CC=CC(C(N)=O)=C5)=O,O=CC1=CC=C(C=C1)OC2=CC=CC=C2,N[C@H](C=O)C1=CC=C(C=C1)OCC2=C(C=CC=C2Cl)Cl,NC1=CC=CC(C(N)=O)=C1,12.4 +/- 7.7,n.i.,70.9 +/- 9.3,2.2 +/- 0.2,> 50,n.i.,n.i.,,
65,O=C(C1=CC=C(OC2=CC=CC=C2)C=C1)N[C@@H](C3=CC=C(OCC4=CC=CC(OC)=C4)C=C3)C(NC5=CC=CC(C(N)=O)=C5)=O,O=CC1=CC=C(C=C1)OC2=CC=CC=C2,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC(OC)=C2,NC1=CC=CC(C(N)=O)=C1,n.i.,23.8 +/- 3.3,72.6 +/- 2.5,2.1 +/- 0.1,> 100,n.i.,n.i.,,
